SEIFA,YEAR,GEO_TYPE,GEO_CD,GEO_NM,URP,SCORE,AUS_RANK,AUS_DECILE,AUS_PERCENTILE,STATE,STATE_RANK,STATE_DECILE,STATE_PERCENTILE,MIN_SA1_SCORE_AREA,MAX_SA1_SCORE_AREA,URP_PERCENT_WO_SA1_SCORE,USE_WITH_CAUTION,CROSSES_STATE
IRSAD,2016,SA2,309021230,Coolangatta,5948,963,764,4,35,QLD,194,4,38,881,1024,0,,
IRSAD,2016,SA2,309021231,Currumbin - Tugun,11316,1001,1134,6,52,QLD,281,6,55,923,1116,0.001590668,,
IRSAD,2016,SA2,309021232,Currumbin Waters,9121,994,1057,5,49,QLD,264,6,52,836,1113,0.003508387,,
IRSAD,2016,SA2,309021233,Elanora,12145,1010,1215,6,56,QLD,302,6,59,890,1115,0.000988061,,
IRSAD,2016,SA2,309021234,Palm Beach,14654,996,1076,5,50,QLD,267,6,52,915,1089,0,,
IRSAD,2016,SA2,309031235,Arundel,10246,1010,1209,6,56,QLD,300,6,59,915,1101,0.001171189,,
IRSAD,2016,SA2,309031236,Biggera Waters,8534,976,890,5,41,QLD,222,5,44,808,1050,0.001288962,,
IRSAD,2016,SA2,309031237,Coombabah,10388,930,440,3,21,QLD,122,3,24,802,1084,0.000288795,,
IRSAD,2016,SA2,309031238,Labrador,18261,925,404,2,19,QLD,114,3,23,814,1058,0.000821423,,
IRSAD,2016,SA2,309031239,Paradise Point - Hollywell,9399,1051,1573,8,72,QLD,397,8,78,942,1163,0,,
IRSAD,2016,SA2,309031240,Runaway Bay,9068,1023,1329,7,61,QLD,338,7,66,904,1108,0,,
IRSAD,2016,SA2,309041241,Guanaba - Springbrook,4238,1021,1300,6,60,QLD,329,7,65,947,1089,0,,
IRSAD,2016,SA2,309041242,Tamborine - Canungra,14273,1025,1348,7,62,QLD,341,7,67,948,1140,0,,
IRSAD,2016,SA2,309051243,Currumbin Valley - Tallebudgera,7147,1056,1620,8,75,QLD,411,8,80,1009,1103,0,,
IRSAD,2016,SA2,309051244,Mudgeeraba - Bonogin,18263,1040,1478,7,68,QLD,377,8,74,916,1135,0,,
IRSAD,2016,SA2,309051245,Reedy Creek - Andrews,7976,1061,1656,8,76,QLD,419,9,82,919,1164,0,,
IRSAD,2016,SA2,309061246,Carrara,12189,1006,1183,6,55,QLD,292,6,57,780,1090,0.001968988,,
IRSAD,2016,SA2,309061247,Highland Park,8368,984,963,5,45,QLD,242,5,48,892,1069,0.002629063,,
IRSAD,2016,SA2,309061248,Nerang - Mount Nathan,20529,962,758,4,35,QLD,193,4,38,739,1135,0.000633251,,
IRSAD,2016,SA2,309061249,Pacific Pines - Gaven,18320,1019,1284,6,59,QLD,323,7,63,839,1087,0,,
IRSAD,2016,SA2,309061250,Worongary - Tallai,7884,1052,1586,8,73,QLD,401,8,79,943,1119,0,,
IRSAD,2016,SA2,309071251,Coomera,13305,1016,1270,6,59,QLD,321,7,63,863,1160,0.001052236,,
IRSAD,2016,SA2,309071252,Helensvale,16862,1035,1415,7,65,QLD,362,8,71,891,1145,0.001838453,,
IRSAD,2016,SA2,309071253,Hope Island,11232,1080,1799,9,83,QLD,448,9,88,988,1179,0.003650285,,
IRSAD,2016,SA2,309071254,Jacobs Well - Alberton,3642,984,970,5,45,QLD,244,5,48,945,1136,0,,
IRSAD,2016,SA2,309071255,Ormeau - Yatala,19674,1030,1385,7,64,QLD,352,7,69,775,1106,0.000660771,,
IRSAD,2016,SA2,309071256,Oxenford - Maudsland,15795,1017,1277,6,59,QLD,322,7,63,873,1112,0,,
IRSAD,2016,SA2,309071257,Pimpama,9167,977,902,5,42,QLD,226,5,44,888,1083,0,,
IRSAD,2016,SA2,309071258,Upper Coomera - Willow Vale,31214,1012,1235,6,57,QLD,306,6,60,879,1112,0,,
IRSAD,2016,SA2,309081259,Clear Island Waters,4120,1073,1746,8,80,QLD,442,9,86,995,1142,0.052912621,,
IRSAD,2016,SA2,309081260,Merrimac,7071,983,947,5,44,QLD,239,5,47,917,1081,0,,
IRSAD,2016,SA2,309081261,Robina,23106,1039,1468,7,68,QLD,375,8,73,930,1114,0.030078767,,
IRSAD,2016,SA2,309081262,Varsity Lakes,15183,1008,1190,6,55,QLD,294,6,58,857,1101,0.000197589,,
IRSAD,2016,SA2,309091263,Ashmore,11910,1006,1179,6,54,QLD,291,6,57,897,1118,0.001007557,,
IRSAD,2016,SA2,309091264,Molendinar,6375,1003,1155,6,53,QLD,286,6,56,843,1063,0.003921569,,
IRSAD,2016,SA2,309091265,Parkwood,8702,1027,1354,7,62,QLD,345,7,68,951,1076,0,,
IRSAD,2016,SA2,309091540,Southport - North,14697,939,542,3,25,QLD,151,3,30,864,1066,0.028305096,,
IRSAD,2016,SA2,309091541,Southport - South,17208,978,905,5,42,QLD,228,5,45,853,1098,0,,
IRSAD,2016,SA2,309101267,Benowa,8741,1064,1683,8,78,QLD,427,9,84,838,1155,0,,
IRSAD,2016,SA2,309101268,Bundall,4523,1077,1779,9,82,QLD,447,9,87,885,1133,0,,
IRSAD,2016,SA2,309101269,Main Beach,3883,1064,1678,8,77,QLD,425,9,83,1029,1114,0,,
IRSAD,2016,SA2,309101270,Surfers Paradise,23689,983,956,5,44,QLD,241,5,47,863,1160,0,,
IRSAD,2016,SA2,310011271,Darra - Sumner,4932,959,717,4,33,QLD,185,4,36,894,1069,0.012773723,,
IRSAD,2016,SA2,310011272,Durack,7948,932,464,3,22,QLD,128,3,25,818,1040,0,,
